RPM,MAP,FGP,MAF
1500.25,100,35760,19.7
1505.75,101,35730,20.07
1494.25,100,35690,20.22
1505.75,101,35920,20.08
1497.5,101,35620,20.03
1494.5,100,35490,19.84
1504.25,101,35850,20.32
1500.25,101,35790,20.12
1515.5,101,37260,20.18
1533.5,101,37740,20.71
1574.5,102,37990,21.18
1617.5,103,38790,22.05
1643.25,104,39450,22.35
1662.75,104,38720,22.34
1679.25,105,39330,22.72
1687.5,105,39300,22.78
1689.5,105,40110,23
1730,106,40940,22.8
1765.25,107,41800,24.3
1786.75,108,41500,24.38
1799.5,109,42140,24.59
1818.75,109,42990,25.39
1835.5,110,42050,25.3
1840.75,110,42570,25.64
1851.5,111,42650,25.57
1862,111,42820,26.21
1869.5,111,43160,26.02
1877.75,112,43730,25.8
1886.25,112,43280,25.93
1892.5,112,43670,27.42
1897.5,112,44060,26.91
1902,112,44260,26.9
1908.5,113,44580,26.72
1918.25,113,44960,26.97
1934.25,113,44710,27.61
1941,114,44600,27.22
1946.75,114,45140,28.56
1946.75,115,45480,28.16
1951.75,115,45430,28.38
1958,115,45200,28.36
1966.5,115,45800,29.27
1976.25,116,45890,29.02
1983,116,46290,28.62
1983.25,116,45740,28.87
1980.5,116,46750,29.25
1991.25,116,46660,28.31
1998.25,117,46680,29.23
1999.5,117,47240,29.86
2001.5,117,47900,28.9
2006.5,118,48510,29.34
2002.5,118,48460,29.74
2007.5,119,48190,30.18
2011.5,119,48580,30.15
2015.5,120,48750,30.4
2016.25,120,48760,29.54
2020,120,49230,30.53
2018.25,121,49850,30.72
2022.75,121,49520,30.28
2022.5,122,50140,31.06
2023.5,122,51120,31.36
2037,123,51390,31.49
2077.5,124,54590,31.68
2135.25,126,54750,33.45
2160,127,55170,34
2168.5,128,55820,34.37
2191,129,56950,35.19
2212.75,130,58070,34.7
2230,132,59170,35.99
2220.25,132,61030,35.45
2266.25,133,61670,36.28
2279.75,135,62490,37.98
2308.5,136,64140,38.43
2331.75,137,64540,39.2
2323,138,62110,38.25
2387.25,135,66800,34.45
2573,116,60610,35.92
2567.75,114,59960,35.2
2561,113,58440,35.7
2545.75,111,57180,34.82
2531.75,110,56140,33.57
2519.5,108,56090,33.06
2512.25,107,55690,32.8
2431.5,113,52390,34.56
2279.5,120,51560,33.85
2215.5,121,51640,33.1
2171.5,123,51900,32.98
2147.5,125,53050,33
2148,126,57740,33.24
2293,129,65520,35.08
2470,118,58290,34.46
2552.5,116,59660,35.72
2570.5,114,59640,36.32
2570.75,112,59050,34.99
2574,111,58690,34.2
2576.5,110,58100,34.92
2575.5,109,58640,34.55
2577.25,108,58470,33.1
2579.75,107,57680,33.64
2579.5,107,57910,33.77
2580.25,107,57640,33.41
2580.5,106,57640,34.18
2582,107,57680,33.76
2579,107,58290,34.1
2574.75,108,58530,34.03
2575.75,109,58400,34.45
2577.75,108,56830,34.17
2501.25,113,52270,35.65
2351,118,54020,34.31
2285.25,122,57980,34.82
2451.5,125,61760,36.94
2577.25,117,57420,36.33
2511,115,53920,36.54
2340.5,123,50930,36.3
2241,122,49520,32.02
2161.25,121,48310,32.49
2122,120,47770,31.28
2097.5,119,47340,31.17
2082.5,119,47180,30.72
2075.75,119,46970,30.27
2069.75,118,46500,29.41
2055.5,118,45840,29.99
2041,117,45080,29.91
2026,116,44410,28.29
2003,115,42850,28.22
1982.75,113,42630,27.18
1977,112,42570,27.23
1969,112,42110,27.46
1958,112,41920,27.52
1954.5,111,41860,26.41
1938,111,40730,26.03
1913.75,110,40430,25.77
1895.25,109,40250,25.5
1860.75,108,39220,25.12
1836,107,39180,24.65
1814.75,107,38780,25.02
1796,106,38570,23.94
1767.75,106,36000,23.59
1682.25,104,34880,22.01
1575.25,102,34330,20.48
1487.5,101,33840,19.59
1424.75,99,34050,18.76
1402.5,99,34080,18.66
1416.5,98,39700,18.85
1632.5,102,41200,21.77
1739.25,106,41430,23.69
1783,108,39400,23.34
1754.5,107,37300,22.95
1688.5,105,36230,22.76
1626.25,103,35760,21.15
1571.25,102,35570,20.89
1526.75,101,35060,20.21
1488,101,35000,19.39
1465,100,35190,19.21
1460,100,35270,19.23
1459.5,100,35330,19.2
1459.5,100,35460,19.47
1460.75,100,35210,19.1
1452.25,99,35360,19.23
1454.5,99,35340,19.01
1456,99,35280,19.39
1460,99,35330,19.23
1461.5,99,35180,19.34
1462.25,100,31910,19.36
1343.5,98,31920,16.95
1273.25,97,31740,16.1
1246.75,96,31640,15.7
1226.25,95,30940,15.35
1205.25,94,30660,15.07
1174,93,29900,14.73
1145.5,93,30150,14.12
1149,92,30210,14.35
1151.75,92,30230,14.01
1151.5,92,30020,14.11
1150.75,92,30150,14.14
1148.75,92,30120,14.4
1147.5,92,30000,14.2
1148.5,92,30000,14.28
